20:58:50 root 	 INFO 	 SwarmSailor Log Started
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_Long
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_Max
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_Max
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QComboBox comboBox_Range
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QComboBox comboBox_Range
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_Lat
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_Lat
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QComboBox comboBox_Res
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QComboBox comboBox_Res
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QComboBox comboBox_Model
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QComboBox comboBox_Model
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QCheckBox checkBox_Cloud
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QCheckBox checkBox_Cloud
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Send_GRIB
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Send_GRIB
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel data_Size_estimate
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel data_Size_estimate
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property minimum
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property maximum
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QSpinBox spinBox_Lat_Min
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QSpinBox spinBox_Lat_Min
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_Model
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_Model
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_SizeEST
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_SizeEST
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_Time
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_Time
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QCheckBox checkBox_Wave
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QCheckBox checkBox_Wave
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QCheckBox checkBox_Pressure
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QCheckBox checkBox_Pressure
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_area
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_area
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property orientation
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QFrame line_2
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QFrame line_2
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property orientation
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QFrame line
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QFrame line
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_Res
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_Res
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_interval
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_interval
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property orientation
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QFrame line_3
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QFrame line_3
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QCheckBox checkBox_AirT
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QCheckBox checkBox_AirT
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Get_Location
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Get_Location
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QComboBox comboBox_Interval
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QComboBox comboBox_Interval
